,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
0,0.817,0.509,0,-4.17,1,0.0839,0.146,2.53e-05,0.111,0.77,99.988,audio_features,3XEdqQtGHAM5huMrs3RaKN,spotify:track:3XEdqQtGHAM5huMrs3RaKN,https://api.spotify.com/v1/tracks/3XEdqQtGHAM5huMrs3RaKN,https://api.spotify.com/v1/audio-analysis/3XEdqQtGHAM5huMrs3RaKN,183930,4,Acid Dreams,55,dance pop
1,0.724,0.846,9,-3.785,0,0.0538,0.109,0.0,0.0958,0.64,129.959,audio_features,2tVkFxyePqB0o4Y4SYKV0Q,spotify:track:2tVkFxyePqB0o4Y4SYKV0Q,https://api.spotify.com/v1/tracks/2tVkFxyePqB0o4Y4SYKV0Q,https://api.spotify.com/v1/audio-analysis/2tVkFxyePqB0o4Y4SYKV0Q,187251,4,Breath,47,k-pop
2,0.818,0.849,9,-4.399,0,0.206,0.0641,0.0,0.0839,0.605,124.954,audio_features,4XbyRgWe6yU4wE6WShdTEs,spotify:track:4XbyRgWe6yU4wE6WShdTEs,https://api.spotify.com/v1/tracks/4XbyRgWe6yU4wE6WShdTEs,https://api.spotify.com/v1/audio-analysis/4XbyRgWe6yU4wE6WShdTEs,217824,4,BREATHE,50,k-pop
3,0.749,0.535,4,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,audio_features,0ClPIeT6MSgfSgQ9ZrJbAq,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/tracks/0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/audio-analysis/0ClPIeT6MSgfSgQ9ZrJbAq,196607,4,Cheating on You,77,dance pop
4,0.774,0.959,1,-2.907,1,0.183,0.113,0.0,0.0902,0.86,114.989,audio_features,5UCTT2liT61iPL2cCV9Gto,spotify:track:5UCTT2liT61iPL2cCV9Gto,https://api.spotify.com/v1/tracks/5UCTT2liT61iPL2cCV9Gto,https://api.spotify.com/v1/audio-analysis/5UCTT2liT61iPL2cCV9Gto,210535,4,CHERRY,43,k-pop
5,0.961,0.739,9,-6.665,1,0.224,0.0794,0.0,0.0372,0.759,119.96,audio_features,34JfHOd0fcefm4FSPSrIhF,spotify:track:34JfHOd0fcefm4FSPSrIhF,https://api.spotify.com/v1/tracks/34JfHOd0fcefm4FSPSrIhF,https://api.spotify.com/v1/audio-analysis/34JfHOd0fcefm4FSPSrIhF,150053,4,Cold Blooded,65,k-pop
6,0.762,0.704,8,-3.205,1,0.0509,0.174,0.0,0.157,0.827,100.055,audio_features,32qLwcEpoKeutWxwrJM4FX,spotify:track:32qLwcEpoKeutWxwrJM4FX,https://api.spotify.com/v1/tracks/32qLwcEpoKeutWxwrJM4FX,https://api.spotify.com/v1/audio-analysis/32qLwcEpoKeutWxwrJM4FX,196793,4,COVID-19 (feat. SUPERBEE),41,korean pop
7,0.654,0.434,8,-11.163,1,0.0665,0.837,0.0,0.216,0.223,109.069,audio_features,2CVChktEKBsM6v4IfdFU5k,spotify:track:2CVChktEKBsM6v4IfdFU5k,https://api.spotify.com/v1/tracks/2CVChktEKBsM6v4IfdFU5k,https://api.spotify.com/v1/audio-analysis/2CVChktEKBsM6v4IfdFU5k,171743,4,double take,3,chill r&b
8,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,audio_features,7n2FZQsaLb7ZRfRPfEeIvr,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,https://api.spotify.com/v1/tracks/7n2FZQsaLb7ZRfRPfEeIvr,https://api.spotify.com/v1/audio-analysis/7n2FZQsaLb7ZRfRPfEeIvr,178453,4,ELEVEN,78,k-pop girl group
9,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,audio_features,0UzymivvUH5s8z4PeWZJaK,spotify:track:0UzymivvUH5s8z4PeWZJaK,https://api.spotify.com/v1/tracks/0UzymivvUH5s8z4PeWZJaK,https://api.spotify.com/v1/audio-analysis/0UzymivvUH5s8z4PeWZJaK,172107,4,FEVER,76,anime
